mom.id,infant.sex,inf.dob,ibi.num,ibi.adj,ibi.censored,year,mom.dob,mom.age,mom.z,mom.z.2,parity,age.cat
Chacma_5,M,1/3/93,1100,740,1,1993,3/1/87,5.85,-1.45,2.11,Primiparous,young
Chacma_18,M,6/18/92,741,381,1,1992,8/1/86,5.88,-1.44,2.08,Primiparous,young
Chacma_2,M,8/2/93,843,483,1,1993,7/1/87,6.09,-1.39,1.92,Primiparous,young
Chacma_23,M,2/2/02,808,448,1,2002,1/3/96,6.09,-1.39,1.92,Primiparous,young
Chacma_1,M,9/12/05,736,376,1,2005,7/2/99,6.2,-1.35,1.84,Primiparous,young
Chacma_19,M,2/8/92,893,533,1,1992,11/1/85,6.27,-1.34,1.78,Primiparous,young
Chacma_22,F,12/7/01,857,497,1,2001,9/1/95,6.27,-1.34,1.78,Primiparous,young
Chacma_14,M,2/2/96,628,268,1,1996,8/1/89,6.51,-1.27,1.61,Primiparous,young
Chacma_10,F,7/6/92,399,39,0,1992,1/1/86,6.52,-1.27,1.6,Primiparous,young
Chacma_27,F,1/31/96,742,382,1,1996,6/1/89,6.67,-1.23,1.5,Primiparous,young
Chacma_24,M,8/1/99,770,410,1,1999,11/1/92,6.75,-1.2,1.45,Primiparous,young
Chacma_41,F,1/3/96,686,326,1,1996,4/1/89,6.76,-1.2,1.44,Primiparous,young
Chacma_6,M,11/21/05,679,319,0,2005,12/27/98,6.91,-1.16,1.34,Primiparous,young
Chacma_8,M,11/22/01,656,296,0,2001,12/11/94,6.95,-1.15,1.32,Primiparous,young
Chacma_4,M,9/27/05,679,319,1,2005,10/7/98,6.98,-1.14,1.3,Primiparous,young
Chacma_28,M,1/6/96,648,288,1,1996,12/1/88,7.1,-1.11,1.23,Primiparous,young
Chacma_13,F,9/12/99,842,482,0,1999,6/30/92,7.21,-1.08,1.16,Primiparous,young
Chacma_39,F,7/6/95,857,497,1,1995,2/1/88,7.43,-1.02,1.03,Primiparous,young
Chacma_20,M,1/25/00,815,455,1,2000,7/6/92,7.56,-0.98,0.96,Primiparous,young
Chacma_36,M,8/5/05,787,427,0,2005,1/1/98,7.6,-0.97,0.94,Primiparous,young
Chacma_7,F,9/14/92,818,458,1,1992,2/1/85,7.62,-0.96,0.93,Primiparous,young
Chacma_37,M,7/1/02,781,421,1,2002,9/29/94,7.76,-0.93,0.86,Multiparous,young
Chacma_21,M,9/5/95,1057,697,1,1995,12/1/87,7.77,-0.92,0.85,Multiparous,young
Chacma_30,F,11/24/95,733,373,1,1995,2/1/88,7.82,-0.91,0.83,Multiparous,young
Chacma_25,F,9/9/02,1056,696,1,2002,10/23/94,7.88,-0.89,0.8,Primiparous,young
Chacma_12,F,10/23/94,645,285,1,1994,10/1/86,8.07,-0.84,0.71,Multiparous,young
Chacma_26,M,11/8/00,742,382,1,2000,9/14/92,8.16,-0.82,0.66,Multiparous,young
Chacma_33,M,12/26/97,730,370,1,1997,11/1/89,8.16,-0.82,0.66,Multiparous,young
Chacma_14,F,10/22/97,665,305,1,1997,8/1/89,8.23,-0.8,0.63,Multiparous,young
Chacma_2,M,11/23/95,811,451,1,1995,7/1/87,8.4,-0.75,0.56,Multiparous,young
Chacma_9,F,2/18/05,710,350,1,2005,9/17/96,8.43,-0.74,0.55,Primiparous,young
Chacma_22,F,4/12/04,448,88,0,2004,9/1/95,8.62,-0.69,0.47,Multiparous,young
Chacma_41,M,11/19/97,606,246,1,1997,4/1/89,8.64,-0.68,0.47,Multiparous,young
Chacma_11,M,11/1/00,677,317,0,2000,1/4/92,8.83,-0.63,0.4,Multiparous,young
Chacma_35,M,11/16/04,507,147,0,2004,12/20/95,8.92,-0.61,0.37,Multiparous,young
Chacma_18,F,8/26/95,743,383,1,1995,8/1/86,9.07,-0.56,0.32,Multiparous,mid
Chacma_17,M,11/20/94,672,312,1,1994,9/22/85,9.17,-0.54,0.29,Multiparous,mid
Chacma_23,F,4/25/05,609,249,1,2005,1/3/96,9.32,-0.5,0.25,Multiparous,mid
Chacma_5,F,10/9/96,657,297,1,1996,3/1/87,9.62,-0.41,0.17,Multiparous,mid
Chacma_24,F,7/7/02,756,396,1,2002,11/1/92,9.68,-0.4,0.16,Multiparous,mid
