mom.id,infant.sex,infant.dob,died,inf.age.out,mos,year,mom.dob,mom.age,mom.z,mom.z.2,cause,parity,age.cat
Chacma_57,F,11/5/07,0,0.07,11,2007,4/25/02,5.53,-1.46,2.13,Censored,Primiparous,young
Chacma_44,F,8/10/05,1,0.1,8,2005,10/24/99,5.8,-1.391,1.935,Infanticide,Primiparous,young
Chacma_5,M,1/3/93,0,1,1,1993,3/1/87,5.85,-1.378,1.9,Survived,Primiparous,young
Chacma_18,M,6/18/92,0,1,6,1992,8/1/86,5.88,-1.371,1.879,Survived,Primiparous,young
Chacma_23,M,2/2/02,0,1,2,2002,1/3/96,6.08,-1.32,1.743,Survived,Primiparous,young
Chacma_2,M,8/2/93,0,1,8,1993,7/1/87,6.09,-1.318,1.736,Survived,Primiparous,young
Chacma_55,M,12/6/06,1,0.01,12,2006,10/9/00,6.16,-1.3,1.69,Injury or illness,Primiparous,young
Chacma_54,F,11/14/01,1,0.42,11,2001,9/6/95,6.19,-1.292,1.67,Maternal death,Primiparous,young
Chacma_1,M,9/12/05,0,1,9,2005,7/2/99,6.2,-1.29,1.664,Survived,Primiparous,young
Chacma_19,M,2/8/92,0,1,2,1992,11/1/85,6.27,-1.272,1.618,Survived,Primiparous,young
Chacma_22,F,12/7/01,0,1,12,2001,9/1/95,6.27,-1.272,1.618,Survived,Primiparous,young
Chacma_52,M,4/5/07,0,0.66,4,2007,12/1/00,6.34,-1.254,1.573,Censored,Primiparous,young
Chacma_45,F,7/27/98,1,0.02,7,1998,2/8/92,6.46,-1.224,1.498,Unknown,Primiparous,young
Chacma_30,M,7/21/94,1,0.15,7,1994,2/1/88,6.47,-1.221,1.492,Infanticide,Primiparous,young
Chacma_10,F,7/6/92,0,1,7,1992,1/1/86,6.51,-1.211,1.467,Survived,Primiparous,young
Chacma_14,M,2/2/96,0,1,2,1996,8/1/89,6.51,-1.211,1.467,Survived,Primiparous,young
Chacma_33,M,6/3/96,1,0.51,6,1996,11/1/89,6.59,-1.191,1.418,Unknown,Primiparous,young
Chacma_58,F,5/4/06,1,0.36,5,2006,9/12/99,6.64,-1.178,1.388,Injury or illness,Primiparous,young
Chacma_27,F,1/31/96,0,1,1,1996,6/1/89,6.67,-1.171,1.371,Survived,Primiparous,young
Chacma_37,M,6/10/01,1,0.22,6,2001,9/29/94,6.7,-1.163,1.353,Unknown,Primiparous,young
Chacma_24,M,8/1/99,0,1,8,1999,11/1/92,6.75,-1.15,1.323,Survived,Primiparous,young
Chacma_41,F,1/3/96,0,1,1,1996,4/1/89,6.76,-1.148,1.318,Survived,Primiparous,young
Chacma_44,F,8/2/06,1,0.8,8,2006,10/24/99,6.77,-1.145,1.312,Unknown,Primiparous,young
Chacma_42,F,7/27/03,1,0.12,7,2003,10/9/96,6.8,-1.138,1.295,Infanticide,Primiparous,young
Chacma_21,M,10/18/94,1,0.01,10,1994,12/1/87,6.88,-1.117,1.249,Infanticide,Primiparous,young
Chacma_26,M,8/3/99,1,0.001,8,1999,9/14/92,6.88,-1.117,1.249,Injury or illness,Primiparous,young
Chacma_12,M,8/26/93,1,0.001,8,1993,10/1/86,6.9,-1.112,1.237,Infanticide,Primiparous,young
Chacma_35,M,11/14/02,1,0.38,11,2002,12/20/95,6.9,-1.112,1.237,Injury or illness,Primiparous,young
Chacma_6,M,11/21/05,0,1,11,2005,12/27/98,6.9,-1.112,1.237,Survived,Primiparous,young
Chacma_17,U,8/19/92,1,0.001,8,1992,9/22/85,6.91,-1.11,1.232,Unknown,Primiparous,young
Chacma_8,M,11/22/01,0,1,11,2001,12/11/94,6.95,-1.1,1.209,Survived,Primiparous,young
Chacma_4,M,9/27/05,0,1,9,2005,10/7/98,6.97,-1.095,1.198,Survived,Primiparous,young
Chacma_43,M,10/23/06,1,0.4,10,2006,10/5/99,7.05,-1.074,1.154,Infanticide,Primiparous,young
Chacma_46,F,9/28/04,1,0.59,9,2004,9/7/97,7.06,-1.072,1.149,Unknown,Primiparous,young
Chacma_55,M,11/4/07,0,0.07,11,2007,10/9/00,7.07,-1.069,1.144,Censored,Multiparous,young
Chacma_28,M,1/6/96,0,1,1,1996,12/1/88,7.1,-1.062,1.127,Survived,Primiparous,young
Chacma_13,F,9/12/99,0,1,9,1999,6/30/92,7.2,-1.036,1.074,Survived,Primiparous,young
Chacma_39,F,7/6/95,0,1,7,1995,2/1/88,7.43,-0.978,0.957,Survived,Primiparous,young
Chacma_11,M,7/15/99,1,0.17,7,1999,1/4/92,7.53,-0.953,0.908,Infanticide,Primiparous,young
Chacma_20,M,1/25/00,0,1,1,2000,7/6/92,7.55,-0.948,0.898,Survived,Primiparous,young
Chacma_36,M,8/5/05,0,1,8,2005,1/1/98,7.59,-0.938,0.879,Survived,Primiparous,young
Chacma_7,F,9/14/92,0,1,9,1992,2/1/85,7.62,-0.93,0.865,Survived,Primiparous,young
Chacma_17,M,6/15/93,1,0.22,6,1993,9/22/85,7.73,-0.902,0.814,Injury or illness,Multiparous,young
Chacma_37,M,7/1/02,0,1,7,2002,9/29/94,7.75,-0.897,0.805,Survived,Multiparous,young
Chacma_21,M,9/5/95,0,1,9,1995,12/1/87,7.76,-0.895,0.8,Survived,Multiparous,young
Chacma_30,F,11/24/95,0,1,11,1995,2/1/88,7.81,-0.882,0.778,Survived,Multiparous,young
