mom.id,infant.sex,inf.dob,unit,ibi.num,ibi.adj,ibi.censored,year,mom.dob,mom.age,mom.z,mom.z.2,parity,age.cat,takeover
Gelada_383,M,7/14/07,T,406,5,0,2007,9/16/95,7.82,-0.75,0.56,Multiparous,Mid,0
Gelada_162,M,4/2/20,T1,409,8,0,2020,11/14/10,9.38,-0.34,0.11,Primiparous,Mid,0
Gelada_100,M,10/24/07,D,432,31,1,2007,5/1/97,10.48,-0.05,0,Multiparous,Mid,1
Gelada_360,F,3/3/20,A,439,38,0,2020,2/8/10,10.06,-0.16,0.03,Multiparous,Mid,0
Gelada_7,F,9/11/10,A,457,56,1,2010,10/12/01,8.91,-0.46,0.21,Multiparous,Mid,0
Gelada_116,F,1/25/16,A,460,59,1,2016,5/30/04,11.66,0.26,0.07,Multiparous,Mid,0
Gelada_232,F,11/16/07,T,486,85,0,2007,4/5/93,10.61,-0.01,0,Multiparous,Mid,0
Gelada_52,M,12/10/13,M1,489,88,0,2013,2/24/04,9.79,-0.23,0.05,Multiparous,Mid,0
Gelada_99,F,4/12/10,B,495,94,1,2010,12/1/98,11.36,0.19,0.03,Multiparous,Mid,0
Gelada_53,M,9/23/10,G,509,108,0,2010,9/26/98,11.99,0.35,0.12,Multiparous,Mid,0
Gelada_10,F,6/7/12,Z,510,109,1,2012,6/15/04,7.98,-0.71,0.5,Multiparous,Mid,0
Gelada_303,M,9/14/09,H2,510,109,0,2009,2/26/95,10.55,-0.03,0,Multiparous,Mid,0
Gelada_65,F,10/31/11,T,512,111,1,2011,10/1/03,8.08,-0.68,0.46,Multiparous,Mid,0
Gelada_152,M,11/27/19,N,536,135,0,2019,6/15/08,11.45,0.21,0.04,Multiparous,Mid,0
Gelada_170,M,10/15/19,A,579,178,0,2019,2/16/08,11.66,0.26,0.07,Multiparous,Mid,0
Gelada_75,F,6/3/11,L,592,191,0,2011,10/5/02,8.66,-0.53,0.28,Multiparous,Mid,1
