mom.id,unit,infant.sex,infant.dob,died,inf.age.out,mos,year,mom.dob,mom.age,mom.z,mom.z.2,cause,age.cat
Gelada_216,H,F,3/1/06,0,1,3,2006,2/5/98,8.07,-0.75,0.56,Survived,young
Gelada_303,H,U,4/1/06,1,0,4,2006,2/26/99,7.09,-1.00,1.00,Infanticide,young
Gelada_91,M,M,5/8/06,0,1,5,2006,8/11/97,8.74,-0.58,0.33,Survived,young
Gelada_9,L,M,7/18/06,1,0.52,7,2006,8/12/90,15.93,1.27,1.61,Unknown,old
Gelada_24,M,M,8/20/06,0,1,8,2006,1/1/98,8.63,-0.61,0.37,Survived,young
Gelada_1,L,M,9/5/06,1,0.39,9,2006,1/30/87,19.6,2.21,4.89,Maternal death,old
Gelada_257,D,M,9/14/06,0,1,9,2006,5/20/89,17.32,1.63,2.64,Survived,old
Gelada_18,N,M,10/1/06,1,0.88,10,2006,8/22/98,8.11,-0.74,0.55,Maternal death,young
Gelada_86,A,M,10/16/06,0,1,10,2006,3/18/88,18.58,1.95,3.80,Survived,old
Gelada_196,C,M,10/25/06,0,1,10,2006,5/25/93,13.42,0.62,0.39,Survived,old
Gelada_58,B,M,11/12/06,0,1,11,2006,8/22/92,14.22,0.83,0.69,Survived,old
Gelada_227,H,F,12/4/06,0,1,12,2006,2/6/95,11.82,0.21,0.05,Survived,mid
Gelada_234,H,M,12/4/06,0,1,12,2006,2/27/98,8.77,-0.57,0.32,Survived,young
Gelada_103,R,F,12/5/06,0,1,12,2006,2/5/98,8.83,-0.55,0.31,Survived,young
Gelada_411,A,M,12/29/06,1,0.07,12,2006,1/29/92,14.92,1.01,1.02,Maternal death,old
Gelada_303,H,M,1/1/07,0,1,1,2007,2/26/99,7.85,-0.81,0.65,Survived,young
Gelada_85,H,F,1/1/07,0,1,1,2007,2/5/98,8.9,-0.54,0.29,Survived,young
Gelada_290,H,F,1/3/07,0,1,1,2007,2/5/98,8.91,-0.53,0.28,Survived,young
Gelada_153,C,M,1/16/07,0,1,1,2007,3/1/97,9.88,-0.28,0.08,Survived,mid
Gelada_45,L,M,1/25/07,0,1,1,2007,3/13/99,7.87,-0.80,0.64,Survived,young
Gelada_50,R,F,3/12/07,0,1,3,2007,2/7/92,15.09,1.05,1.11,Survived,old
Gelada_66,Z,M,3/31/07,0,1,5,2007,6/7/95,11.81,0.21,0.04,Survived,mid
Gelada_136,Z,M,3/31/07,0,1,5,2007,2/5/93,14.15,0.81,0.66,Survived,old
Gelada_248,G,F,4/12/07,0,1,4,2007,5/11/89,17.92,1.78,3.17,Survived,old
Gelada_46,Z,M,4/22/07,0,1,5,2007,1/1/97,10.3,-0.18,0.03,Survived,mid
Gelada_149,B,F,5/7/07,0,1,5,2007,12/26/92,14.36,0.87,0.75,Survived,old
Gelada_35,T,F,5/15/07,0,1,5,2007,7/31/98,8.79,-0.56,0.32,Survived,young
Gelada_40,G,M,5/23/07,0,1,5,2007,6/1/96,10.97,0.00,0.00,Survived,mid
Gelada_122,D,F,5/25/07,0,1,5,2007,2/16/01,6.27,-1.21,1.47,Survived,young
Gelada_70,T,M,6/7/07,0,1,6,2007,6/7/94,13,0.52,0.27,Survived,mid
